ext	type
.html	static
.htm	static
.xhtml	static
.css	static
.rss	static
.jpg	image
.jpeg	image
.png	image
.gif	image
.ai	image
.bmp	image
.ico	image
.ps	image
.psd	image
.svg	image
.tif	image
.tiff	image
.js	script
.java	code
.class	code
.cpp	code
.cs	code
.vb	code
.h	code
.swift	code
.asp	dynamic
.aspx	dynamic
.cfm	dynamic
.cfml	dynamic
.jsp	dynamic
.php	dynamic
.php3	dynamic
.shtm	dynamic
.shtml	dynamic
.aif	audio
.cda	audio
.mid	audio
.midi	audio
.mp3	audio
.mpa	audio
.ogg	audio
.wav	audio
.wma	audio
.wpl	audio
.7z	archive
.arj	archive
.deb	archive
.pkg	archive
.rar	archive
.rpm	archive
.tar	archive
.gz	archive
.z	archive
.zip	archive
.bin	disk
.dmg	disk
.iso	disk
.toast	disc
.vcd	disc
.csv	data
.dat	data
.db	data
.dbf	data
.log	data
.mdb	data
.sav	data
.sql	data
.xml	data
.json	data
.email	email
.eml	email
.emlx	email
.msg	email
.oft	email
.ost	email
.pst	email
.vcf	email
.apk	executable
.bat	script
.cgi	script
.pl	script
.com	script
.exe	executable
.jar	archive
.msi	executable
.py	script
.wsf	script
.ods	office
.xls	office
.xlsm	office
.xlsx	office
.key	office
.odp	office
.pps	office
.ppt	office
.pptx	office
.doc	office
.docx	office
.odt	office
.pdf	office
.rtf	office
.tex	office
.txt	office
.wpd	office
.fnt	font
.fon	font
.otf	font
.ttf	font
.bak	system
.cab	system
.cfg	system
.cpl	system
.cur	system
.dll	system
.dmp	system
.drv	system
.icns	system
.ini	system
.lnk	system
.sys	system
.tmp	system
.3g2	video
.3gp	video
.avi	video
.flv	video
.h264	video
.m4v	video
.mkv	video
.mov	video
.mp4	video
.mpg	video
.mpeg	video
.rm	video
.swf	video
.vob	video
.wmv	video
