Count	Subdomain	Comment
20395943	www	Obviously!
1090647	mail	
258838	remote	Everyone loves remote access
168575	blog	
133529	webmail	
129202	server	Creative
100849	ns1	
92737	ns2	
73465	smtp	
72115	secure	If you need a subdomain for this you have issues
68339	vpn	
63883	m	Lots of mobile sites
62808	shop	
60777	ftp	Still going strong
58484	mail2	
44481	test	Well, hello
44115	portal	
43645	ns	
43624	ww1	
42235	host	
40726	support	
40107	dev	Hello again
37666	web	When www isn't enough
37345	bbs	Yes, really. Looking into this, many people equate "BBS" with "Forum"
37131	ww42	Domains parked with a large domain squatter
37069	mx	
36876	email	
36870	cloud	Fluffy
35584	1	
35481	mail1	
34475	2	
33696	forum	
31291	owa	Good old Outlook
31254	www2	
30392	gw	
29916	admin	Likely a good target
29763	store	
29251	mx1	
29124	cdn	
29083	api	
28691	exchange	
28475	app	
26728	gov	Uhm
26459	2tty	Mostly from .asia and .pw TLDs
26229	vps	
24964	govyty	"
24951	hgfgdf	"
24768	news	
24521	1rer	"
24395	lkjkui	"
0	mx0	*
0	mxb	*
0	aspmx	*
0	mailserver	*
0	webmail	*
0	pop	*
0	pop3	*
0	mailin1	*
0	mailin2	*
0	inbound	*
0	imap	*
0	dns	*
0	dns1	*
0	dns2	*
0	ns3	*
0	ns4	*
0	ns5	*
0	ns6	*
0	ns7	*
0	wiki	*
0	community	*
0	finance	*
0	sport	*
0	style	*
0	news	*
0	lifestyle	*
0	food	*
0	arts	*
0	film	*
0	video	*
0	tv	*
0	books	*
0	tech	*
0	science	*
0	fashion	*
0	beauty	*
0	celeb	*
0	celebrity	*
0	gossip	*
0	travel	*
0	health	*
0	home	*
0	garden	*
